ID;Colony;Prec;Trtm;Frg;Species;Species_short;Day;Region;Tank_n;gray_sum
Amu;C;Ambient;Heat;4;Acropora muricata;A. muricata;1;Indonesia;Tank_6;168,57755350
Amu;C;ST;Control;1;Acropora muricata;A. muricata;0;Indonesia;Tank_1;67,59105157
Amu;C;ST;Control;1;Acropora muricata;A. muricata;1;Indonesia;Tank_1;66,75203230
Amu;C;ST;Heat;2;Acropora muricata;A. muricata;0;Indonesia;Tank_2;83,30845313
Amu;C;ST;Heat;2;Acropora muricata;A. muricata;1;Indonesia;Tank_2;169,49914320
Amu;C;ST;Control;3;Acropora muricata;A. muricata;0;Indonesia;Tank_5;85,25743825
Amu;C;ST;Control;3;Acropora muricata;A. muricata;1;Indonesia;Tank_5;81,58949917
Amu;C;ST;Heat;4;Acropora muricata;A. muricata;0;Indonesia;Tank_6;83,21858812
Amu;C;ST;Heat;4;Acropora muricata;A. muricata;1;Indonesia;Tank_6;196,41371270
Amu;C;VT;Control;1;Acropora muricata;A. muricata;0;Indonesia;Tank_1;109,56053620
Amu;C;VT;Control;1;Acropora muricata;A. muricata;1;Indonesia;Tank_1;115,22692630
Amu;C;VT;Heat;2;Acropora muricata;A. muricata;0;Indonesia;Tank_2;87,71257008
Amu;C;VT;Heat;2;Acropora muricata;A. muricata;1;Indonesia;Tank_2;152,86985210
Amu;C;VT;Control;3;Acropora muricata;A. muricata;0;Indonesia;Tank_5;97,57299987
Amu;C;VT;Control;3;Acropora muricata;A. muricata;1;Indonesia;Tank_5;98,55592938
Amu;C;VT;Heat;4;Acropora muricata;A. muricata;0;Indonesia;Tank_6;90,28272400
Amu;C;VT;Heat;4;Acropora muricata;A. muricata;1;Indonesia;Tank_6;179,48630990
Amu;D;Ambient;Control;1;Acropora muricata;A. muricata;0;Indonesia;Tank_1;78,57974962
Amu;D;Ambient;Control;1;Acropora muricata;A. muricata;1;Indonesia;Tank_1;85,22932830
Amu;D;Ambient;Heat;2;Acropora muricata;A. muricata;0;Indonesia;Tank_2;65,99931065
Amu;D;Ambient;Heat;2;Acropora muricata;A. muricata;1;Indonesia;Tank_2;202,00548230
Amu;D;Ambient;Control;3;Acropora muricata;A. muricata;0;Indonesia;Tank_5;84,09944635
Amu;D;Ambient;Control;3;Acropora muricata;A. muricata;1;Indonesia;Tank_5;77,27764074
Amu;D;Ambient;Heat;4;Acropora muricata;A. muricata;0;Indonesia;Tank_6;77,40883445
Amu;D;Ambient;Heat;4;Acropora muricata;A. muricata;1;Indonesia;Tank_6;200,11055830
Amu;D;ST;Control;1;Acropora muricata;A. muricata;0;Indonesia;Tank_1;78,74235920
Amu;D;ST;Control;1;Acropora muricata;A. muricata;1;Indonesia;Tank_1;91,16300531
Amu;D;ST;Heat;2;Acropora muricata;A. muricata;0;Indonesia;Tank_2;63,91153939
Amu;D;ST;Heat;2;Acropora muricata;A. muricata;1;Indonesia;Tank_2;169,80174020
Amu;D;ST;Control;3;Acropora muricata;A. muricata;0;Indonesia;Tank_5;79,71458314
Amu;D;ST;Control;3;Acropora muricata;A. muricata;1;Indonesia;Tank_5;81,14307221
Amu;D;ST;Heat;4;Acropora muricata;A. muricata;0;Indonesia;Tank_6;79,74171569
Amu;D;ST;Heat;4;Acropora muricata;A. muricata;1;Indonesia;Tank_6;178,54553510
Amu;D;VT;Control;1;Acropora muricata;A. muricata;0;Indonesia;Tank_1;95,19840864
Amu;D;VT;Control;1;Acropora muricata;A. muricata;1;Indonesia;Tank_1;78,97819298
Amu;D;VT;Heat;2;Acropora muricata;A. muricata;0;Indonesia;Tank_2;90,92477831
Amu;D;VT;Heat;2;Acropora muricata;A. muricata;1;Indonesia;Tank_2;168,11944890
Amu;D;VT;Control;3;Acropora muricata;A. muricata;0;Indonesia;Tank_5;125,93115440
Amu;D;VT;Control;3;Acropora muricata;A. muricata;1;Indonesia;Tank_5;118,97901770
Amu;D;VT;Heat;4;Acropora muricata;A. muricata;0;Indonesia;Tank_6;114,82815610
Amu;D;VT;Heat;4;Acropora muricata;A. muricata;1;Indonesia;Tank_6;199,66177550
Amu;L;Ambient;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;67,50158185
Amu;L;Ambient;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;56,25592637
Amu;L;Ambient;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;60,42600471
Amu;L;Ambient;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;206,54838510
Amu;L;Ambient;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;61,50408993
Amu;L;Ambient;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;61,30609324
Amu;L;Ambient;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;70,97133603
Amu;L;Ambient;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;225,54905880
Amu;L;ST;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;93,15776455
Amu;L;ST;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;80,95388939
Amu;L;ST;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;73,50837416
Amu;L;ST;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;216,59444120
Amu;L;ST;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;81,02670096
