t,Date,Exp_date,Day,Time,ID,Species_ID,Species,Colony,Prec,Tank_n,Treatment,Meas_type,Frg_n,ML,F,Fm,YII,obs,Survived_day,Status,Region,Year
3848851383,2021-12-16,Day0,0,21:23:03,Mdi_D_VT_03,Mdi,Montipora digitata,D,VT,Tank_11,Control,Dark,03,10,0.597,1.547,0.614,1,NA,NA,Indonesia,NA
3848851423,2021-12-16,Day0,0,21:23:43,Mdi_B_Control_03,Mdi,Montipora digitata,B,Ambient,Tank_11,Control,Dark,03,10,0.634,1.572,0.597,1,NA,NA,Indonesia,NA
3848851460,2021-12-16,Day0,0,21:24:20,Mdi_C_VT_03,Mdi,Montipora digitata,C,VT,Tank_11,Control,Dark,03,10,0.459,1.248,0.632,1,NA,NA,Indonesia,NA
3848851518,2021-12-16,Day0,0,21:25:18,Mdi_D_ST_03,Mdi,Montipora digitata,D,ST,Tank_11,Control,Dark,03,10,0.568,1.421,0.6,1,NA,NA,Indonesia,NA
3848851544,2021-12-16,Day0,0,21:25:44,Mdi_B_VT_03,Mdi,Montipora digitata,B,VT,Tank_11,Control,Dark,03,10,0.443,1.084,0.591,1,NA,NA,Indonesia,NA
3848851580,2021-12-16,Day0,0,21:26:20,Mdi_B_ST_03,Mdi,Montipora digitata,B,ST,Tank_11,Control,Dark,03,10,0.481,1.162,0.586,1,NA,NA,Indonesia,NA
3848851600,2021-12-16,Day0,0,21:26:40,Mdi_A_VT_03,Mdi,Montipora digitata,A,VT,Tank_11,Control,Dark,03,10,0.532,1.399,0.62,1,NA,NA,Indonesia,NA
3848851624,2021-12-16,Day0,0,21:27:04,Mdi_A_ST_03,Mdi,Montipora digitata,A,ST,Tank_11,Control,Dark,03,10,0.603,1.502,0.599,1,NA,NA,Indonesia,NA
3848851649,2021-12-16,Day0,0,21:27:29,Mdi_C_ST_03,Mdi,Montipora digitata,C,ST,Tank_11,Control,Dark,03,10,0.534,1.212,0.559,1,NA,NA,Indonesia,NA
3848851797,2021-12-16,Day0,0,21:29:57,Mdi_B_ST_04,Mdi,Montipora digitata,B,ST,Tank_12,Heat,Dark,04,10,0.398,0.912,0.564,1,NA,NA,Indonesia,NA
3848851843,2021-12-16,Day0,0,21:30:43,Mdi_C_Control_04,Mdi,Montipora digitata,C,Ambient,Tank_12,Heat,Dark,04,10,0.478,1.185,0.597,1,NA,NA,Indonesia,NA
3848851876,2021-12-16,Day0,0,21:31:16,Mdi_B_Control_04,Mdi,Montipora digitata,B,Ambient,Tank_12,Heat,Dark,04,10,0.587,1.493,0.607,1,NA,NA,Indonesia,NA
3848851902,2021-12-16,Day0,0,21:31:42,Mdi_D_Control_04,Mdi,Montipora digitata,D,Ambient,Tank_12,Heat,Dark,04,10,0.746,2.306,0.676,1,NA,NA,Indonesia,NA
3848851928,2021-12-16,Day0,0,21:32:08,Mdi_D_VT_04,Mdi,Montipora digitata,D,VT,Tank_12,Heat,Dark,04,10,0.572,1.51,0.621,1,NA,NA,Indonesia,NA
3848851973,2021-12-16,Day0,0,21:32:53,Mdi_A_Control_04,Mdi,Montipora digitata,A,Ambient,Tank_12,Heat,Dark,04,10,0.487,1.291,0.623,1,NA,NA,Indonesia,NA
3848852011,2021-12-16,Day0,0,21:33:31,Mdi_C_VT_04,Mdi,Montipora digitata,C,VT,Tank_12,Heat,Dark,04,10,0.513,1.375,0.627,1,NA,NA,Indonesia,NA
3848852082,2021-12-16,Day0,0,21:34:42,Mdi_B_VT_04,Mdi,Montipora digitata,B,VT,Tank_12,Heat,Dark,04,10,0.507,1.265,0.599,1,NA,NA,Indonesia,NA
3848852112,2021-12-16,Day0,0,21:35:12,Mdi_A_VT_04,Mdi,Montipora digitata,A,VT,Tank_12,Heat,Dark,04,10,0.555,1.478,0.624,1,NA,NA,Indonesia,NA
3848852138,2021-12-16,Day0,0,21:35:38,Mdi_D_ST_04,Mdi,Montipora digitata,D,ST,Tank_12,Heat,Dark,04,10,0.397,1.107,0.641,1,NA,NA,Indonesia,NA
3848852162,2021-12-16,Day0,0,21:36:02,Mdi_C_ST_04,Mdi,Montipora digitata,C,ST,Tank_12,Heat,Dark,04,10,0.413,1.037,0.602,1,NA,NA,Indonesia,NA
3848852183,2021-12-16,Day0,0,21:36:23,Mdi_A_ST_04,Mdi,Montipora digitata,A,ST,Tank_12,Heat,Dark,04,10,0.554,1.41,0.607,1,NA,NA,Indonesia,NA
3848846231,2021-12-16,Day0,0,19:57:11,Amu_A_VT_02,Amu,Acropora muricata,A,VT,Tank_2,Heat,Dark,02,10,0.84,1.816,0.537,1,NA,NA,Indonesia,NA
3848846287,2021-12-16,Day0,0,19:58:07,Amu_D_ST_02,Amu,Acropora muricata,D,ST,Tank_2,Heat,Dark,02,10,0.763,1.658,0.54,1,NA,NA,Indonesia,NA
3848846320,2021-12-16,Day0,0,19:58:40,Amu_B_VT_02,Amu,Acropora muricata,B,VT,Tank_2,Heat,Dark,02,10,1.132,2.289,0.505,1,NA,NA,Indonesia,NA
3848846341,2021-12-16,Day0,0,19:59:01,Amu_C_ST_02,Amu,Acropora muricata,C,ST,Tank_2,Heat,Dark,02,10,0.726,1.797,0.596,1,NA,NA,Indonesia,NA
3848846383,2021-12-16,Day0,0,19:59:43,Amu_A_ST_02,Amu,Acropora muricata,A,ST,Tank_2,Heat,Dark,02,10,1.084,1.991,0.456,1,NA,NA,Indonesia,NA
3848846408,2021-12-16,Day0,0,20:00:08,Amu_B_ST_02,Amu,Acropora muricata,B,ST,Tank_2,Heat,Dark,02,10,0.807,1.781,0.547,1,NA,NA,Indonesia,NA
3848846448,2021-12-16,Day0,0,20:00:48,Amu_B_Control_02,Amu,Acropora muricata,B,Ambient,Tank_2,Heat,Dark,02,10,0.56,1.474,0.62,1,NA,NA,Indonesia,NA
3848846485,2021-12-16,Day0,0,20:01:25,Amu_D_VT_02,Amu,Acropora muricata,D,VT,Tank_2,Heat,Dark,02,10,0.751,1.711,0.561,1,NA,NA,Indonesia,NA
3848846508,2021-12-16,Day0,0,20:01:48,Amu_C_Control_02,Amu,Acropora muricata,C,Ambient,Tank_2,Heat,Dark,02,10,0.624,1.795,0.652,1,NA,NA,Indonesia,NA
3848846540,2021-12-16,Day0,0,20:02:20,Amu_C_VT_02,Amu,Acropora muricata,C,VT,Tank_2,Heat,Dark,02,10,0.87,2.07,0.58,1,NA,NA,Indonesia,NA
