Species;Species_ID;Colony;Prec;Frg_n;Treatment;Day;Tank_n;Region;F;Fm;YII;obs;Survived_day;Status
Montipora digitata;Mdi;C;VT;3;Control;15;Tank_C6;Indonesia;0,981;1,712;0,427;1;30;1
Montipora digitata;Mdi;C;VT;3;Control;15;Tank_C6;Indonesia;0,584;1,234;0,527;2;30;1
Montipora digitata;Mdi;C;VT;3;Control;15;Tank_C6;Indonesia;0,472;0,931;0,493;3;30;1
Montipora digitata;Mdi;D;ST;4;Heat;15;Tank_C6;Indonesia;0,774;1,830;0,577;1;30;1
Montipora digitata;Mdi;D;ST;4;Heat;15;Tank_C6;Indonesia;0,527;1,151;0,542;2;30;1
Montipora digitata;Mdi;D;ST;4;Heat;15;Tank_C6;Indonesia;0,753;1,696;0,556;3;30;1
Montipora digitata;Mdi;B;ST;4;Heat;15;Tank_C6;Indonesia;0,822;1,966;0,582;1;30;1
Montipora digitata;Mdi;B;ST;4;Heat;15;Tank_C6;Indonesia;0,790;1,720;0,541;2;30;1
Montipora digitata;Mdi;B;ST;4;Heat;15;Tank_C6;Indonesia;0,748;1,492;0,499;3;30;1
Montipora digitata;Mdi;A;Ambient;4;Heat;15;Tank_C6;Indonesia;0,000;0,000;0,000;1;10;2
Montipora digitata;Mdi;A;Ambient;4;Heat;15;Tank_C6;Indonesia;0,000;0,000;0,000;2;10;2
Montipora digitata;Mdi;A;Ambient;4;Heat;15;Tank_C6;Indonesia;0,000;0,000;0,000;3;10;2
Montipora digitata;Mdi;C;Ambient;4;Heat;15;Tank_C6;Indonesia;0,575;1,272;0,548;1;30;1
Montipora digitata;Mdi;C;Ambient;4;Heat;15;Tank_C6;Indonesia;0,792;1,724;0,541;2;30;1
Montipora digitata;Mdi;C;Ambient;4;Heat;15;Tank_C6;Indonesia;0,493;1,040;0,526;3;30;1
Montipora digitata;Mdi;D;VT;4;Heat;15;Tank_C6;Indonesia;0,717;1,639;0,563;1;30;1
Montipora digitata;Mdi;D;VT;4;Heat;15;Tank_C6;Indonesia;0,800;1,804;0,557;2;30;1
Montipora digitata;Mdi;D;VT;4;Heat;15;Tank_C6;Indonesia;0,659;1,524;0,568;3;30;1
Montipora digitata;Mdi;B;Ambient;4;Heat;15;Tank_C6;Indonesia;0,921;1,616;0,430;1;30;1
Montipora digitata;Mdi;B;Ambient;4;Heat;15;Tank_C6;Indonesia;0,606;1,355;0,553;2;30;1
Montipora digitata;Mdi;B;Ambient;4;Heat;15;Tank_C6;Indonesia;0,691;1,175;0,412;3;30;1
Montipora digitata;Mdi;D;Ambient;4;Heat;15;Tank_C6;Indonesia;0,583;1,313;0,556;1;30;1
Montipora digitata;Mdi;D;Ambient;4;Heat;15;Tank_C6;Indonesia;0,550;1,232;0,554;2;30;1
Montipora digitata;Mdi;D;Ambient;4;Heat;15;Tank_C6;Indonesia;0,718;1,481;0,515;3;30;1
Acropora muricata;Amu;D;ST;1;Control;0;Tank_1;Indonesia;0,583;1,013;0,424;1;NA;NA
Acropora muricata;Amu;D;ST;1;Control;0;Tank_1;Indonesia;1,028;1,795;0,427;2;NA;NA
Acropora muricata;Amu;D;ST;1;Control;0;Tank_1;Indonesia;0,615;1,118;0,450;3;NA;NA
Acropora muricata;Amu;B;Ambient;1;Control;0;Tank_1;Indonesia;0,215;0,571;0,623;1;NA;NA
Acropora muricata;Amu;B;Ambient;1;Control;0;Tank_1;Indonesia;0,392;1,032;0,620;2;NA;NA
Acropora muricata;Amu;B;Ambient;1;Control;0;Tank_1;Indonesia;0,351;0,914;0,616;3;NA;NA
Acropora muricata;Amu;B;VT;1;Control;0;Tank_1;Indonesia;0,674;1,263;0,466;1;NA;NA
Acropora muricata;Amu;B;VT;1;Control;0;Tank_1;Indonesia;0,694;1,347;0,485;2;NA;NA
Acropora muricata;Amu;B;VT;1;Control;0;Tank_1;Indonesia;0,556;1,100;0,495;3;NA;NA
Acropora muricata;Amu;C;Ambient;1;Control;0;Tank_1;Indonesia;0,375;1,005;0,627;1;NA;NA
Acropora muricata;Amu;C;Ambient;1;Control;0;Tank_1;Indonesia;0,495;1,375;0,640;2;NA;NA
Acropora muricata;Amu;C;Ambient;1;Control;0;Tank_1;Indonesia;0,459;1,213;0,622;3;NA;NA
Acropora muricata;Amu;B;ST;1;Control;0;Tank_1;Indonesia;0,544;0,968;0,438;1;NA;NA
Acropora muricata;Amu;B;ST;1;Control;0;Tank_1;Indonesia;0,815;1,519;0,463;2;NA;NA
Acropora muricata;Amu;B;ST;1;Control;0;Tank_1;Indonesia;0,256;0,486;0,473;3;NA;NA
Acropora muricata;Amu;D;Ambient;1;Control;0;Tank_1;Indonesia;0,597;1,555;0,616;1;NA;NA
Acropora muricata;Amu;D;Ambient;1;Control;0;Tank_1;Indonesia;0,538;1,393;0,614;2;NA;NA
Acropora muricata;Amu;D;Ambient;1;Control;0;Tank_1;Indonesia;0,399;1,037;0,615;3;NA;NA
